"","source","value"
"300","cgtn",-3
"301","cgtn",-3
"302","cgtn",1
"303","cgtn",-1
"304","cgtn",1
"305","cgtn",-3
"306","cgtn",-1
"307","cgtn",1
"308","cgtn",-2
"309","cgtn",-2
"310","cgtn",-1
"311","cgtn",-2
"312","cgtn",-2
"313","cgtn",-1
"314","cgtn",-2
"315","cgtn",-2
"316","cgtn",-2
"317","cgtn",-1
"318","cgtn",-3
"319","cgtn",-2
"320","cgtn",1
"321","cgtn",2
"322","cgtn",-2
"323","cgtn",1
"324","cgtn",-1
"325","cgtn",-1
"326","cgtn",-1
"327","cgtn",-1
"328","cgtn",-1
"329","cgtn",-2
"330","cgtn",-1
"331","cgtn",2
"332","cgtn",-1
"333","cgtn",-2
"334","cgtn",-2
"335","cgtn",-3
"336","cgtn",2
"337","cgtn",-1
"338","cgtn",-2
"339","cgtn",-2
"340","cgtn",-1
"341","cgtn",-1
"342","cgtn",-2
"343","cgtn",-2
"344","cgtn",-1
"345","cgtn",-1
"346","cgtn",-2
"347","cgtn",-1
"348","cgtn",-3
"349","cgtn",-2
"350","cgtn",1
"351","cgtn",-2
"352","cgtn",-2
"353","cgtn",-1
"354","cgtn",-1
"355","cgtn",-1
"356","cgtn",1
"357","cgtn",-3
"358","cgtn",-2
"359","cgtn",-3
"360","cgtn",3
"361","cgtn",2
"362","cgtn",-2
"363","cgtn",-2
"364","cgtn",1
"365","cgtn",-2
"366","cgtn",-2
"367","cgtn",-1
"368","cgtn",-2
"369","cgtn",-1
"370","cgtn",-1
"371","cgtn",-2
"372","cgtn",-1
"373","cgtn",1
"374","cgtn",-2
"375","cgtn",1
"376","cgtn",2
"377","cgtn",1
"378","cgtn",-2
"379","cgtn",-1
"380","cgtn",-2
"381","cgtn",-1
"382","cgtn",1
"383","cgtn",-1
"384","cgtn",2
"385","cgtn",2
"386","cgtn",-2
"387","cgtn",-1
"388","cgtn",-2
"389","cgtn",-2
"390","cgtn",1
"391","cgtn",1
"392","cgtn",-2
"393","cgtn",-2
"394","cgtn",3
"395","cgtn",-1
"396","cgtn",-2
"397","cgtn",1
"398","cgtn",1
"399","cgtn",-2
"400","cgtn",-1
"401","cgtn",-3
"402","cgtn",1
"403","cgtn",2
"404","cgtn",-2
"405","cgtn",-1
"406","cgtn",-2
"407","cgtn",-1
"408","cgtn",1
"409","cgtn",-3
"410","cgtn",-1
"411","cgtn",-2
"412","cgtn",-2
"413","cgtn",-2
"414","cgtn",-3
"415","cgtn",-2
"416","cgtn",1
"417","cgtn",-2
"418","cgtn",3
"419","cgtn",4
"420","cgtn",-2
"421","cgtn",1
"422","cgtn",-2
"423","cgtn",-1
"424","cgtn",-2
"425","cgtn",1
"426","cgtn",1
"427","cgtn",2
"428","cgtn",1
"429","cgtn",-2
"430","cgtn",-2
"431","cgtn",1
"432","cgtn",-2
"433","cgtn",3
"434","cgtn",4
"435","cgtn",2
"436","cgtn",-2
"437","cgtn",2
"438","cgtn",-2
"439","cgtn",-2
"440","cgtn",-2
"441","cgtn",2
"442","cgtn",-1
"443","cgtn",-1
"444","cgtn",-1
"445","cgtn",2
"446","cgtn",-1
"447","cgtn",-2
"448","cgtn",2
"449","cgtn",-2
"450","cgtn",2
"451","cgtn",3
"452","cgtn",-1
"453","cgtn",-3
"454","cgtn",1
"455","cgtn",-1
"456","cgtn",-2
"457","cgtn",2
"458","cgtn",2
"459","cgtn",-2
"460","cgtn",-2
"461","cgtn",-2
"462","cgtn",-1
"463","cgtn",1
"464","cgtn",2
"465","cgtn",-1
"466","cgtn",-2
"467","cgtn",-2
"468","cgtn",2
"469","cgtn",-2
"470","cgtn",-2
"471","cgtn",-2
"472","cgtn",-2
"473","cgtn",-2
"474","cgtn",-1
"475","cgtn",-2
"476","cgtn",-2
"477","cgtn",-2
"478","cgtn",-2
"479","cgtn",1
"480","cgtn",-1
"481","cgtn",-1
"482","cgtn",-1
"483","cgtn",-3
"484","cgtn",-2
"485","cgtn",-3
"486","cgtn",-2
"487","cgtn",2
"488","cgtn",-2
"489","cgtn",-2
"490","cgtn",-2
"491","cgtn",1
"492","cgtn",1
"493","cgtn",-1
"494","cgtn",-2
"495","cgtn",-2
"496","cgtn",1
"497","cgtn",-1
"498","cgtn",-2
"499","cgtn",-2
"500","cgtn",1
"501","cgtn",-1
"502","cgtn",-2
"503","cgtn",-1
"504","cgtn",-2
"505","cgtn",-1
"506","cgtn",-2
"507","cgtn",2
"508","cgtn",1
"509","cgtn",1
"510","cgtn",2
"511","cgtn",1
"512","cgtn",2
"513","cgtn",1
"514","cgtn",1
"515","cgtn",2
"516","cgtn",-2
"517","cgtn",1
"518","cgtn",-2
"519","cgtn",-2
"520","cgtn",2
"521","cgtn",-1
"522","cgtn",1
"523","cgtn",1
"524","cgtn",2
"525","cgtn",-1
"526","cgtn",-2
"527","cgtn",4
"528","cgtn",-2
"529","cgtn",3
"530","cgtn",-2
"531","cgtn",-2
"532","cgtn",1
"533","cgtn",-2
"534","cgtn",-1
"535","cgtn",-2
"536","cgtn",-1
"537","cgtn",-2
"538","cgtn",-1
"539","cgtn",2
"540","cgtn",2
"541","cgtn",1
"542","cgtn",1
"543","cgtn",-2
"544","cgtn",-2
"545","cgtn",4
"546","cgtn",-2
"547","cgtn",3
"548","cgtn",-2
"549","cgtn",-2
"550","cgtn",1
"551","cgtn",-2
"552","cgtn",-1
"553","cgtn",-2
"554","cgtn",-1
"555","cgtn",-2
"556","cgtn",-1
"557","cgtn",2
"558","cgtn",-1
"559","cgtn",2
"560","cgtn",2
"561","cgtn",-2
"562","cgtn",-2
"563","cgtn",-1
"564","cgtn",1
"565","cgtn",-2
